"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"1",2020,1,4,1,3,1,NA,NA,NA,2,NA,NA,4,3,3,NA,2,1,NA,NA,NA
"2",2020,2,4,2,NA,NA,3,4,4,2,NA,NA,4,4,4,2,NA,NA,4,2,3
"3",2020,2,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,1,5,4
"4",2020,2,4,1,2,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"5",2020,1,8,1,3,0,NA,NA,NA,1,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA
"6",2020,1,4,1,6,30,NA,NA,NA,1,0,5,NA,NA,NA,1,1,1,4,NA,NA
"7",2020,1,4,2,NA,NA,4,4,4,2,NA,NA,4,4,NA,1,NA,NA,1,NA,NA
"8",2020,1,4,2,NA,NA,2,3,3,2,NA,NA,4,4,3,1,NA,NA,2,3,3
"9",2020,2,4,1,5,1,NA,NA,NA,1,0,6,NA,NA,NA,NA,1,4,NA,NA,NA
"10",2020,2,5,1,2,5,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020,1,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,4
"12",2020,1,4,1,3,1,NA,NA,NA,2,NA,NA,4,4,4,NA,2,1,NA,NA,NA
"13",2020,2,4,2,NA,NA,3,3,3,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"14",2020,1,4,1,1,0,NA,NA,NA,1,0,6,NA,NA,NA,2,NA,NA,2,3,3
"15",2020,1,4,2,NA,NA,3,4,3,2,NA,NA,2,NA,4,1,NA,NA,NA,NA,NA
"16",2020,1,4,1,5,7,NA,NA,NA,1,3,3,NA,NA,NA,NA,2,1,NA,NA,NA
"17",2020,2,4,2,NA,NA,4,3,3,1,0,4,NA,NA,NA,2,NA,NA,2,4,4
"18",2020,2,4,2,NA,NA,3,4,3,1,2,3,NA,NA,NA,NA,1,1,NA,NA,NA
"19",2020,1,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,2,2,5
"20",2020,1,4,1,6,15,NA,NA,NA,2,NA,NA,4,4,4,NA,2,1,NA,NA,NA
"21",2020,1,4,2,NA,NA,3,3,4,2,NA,NA,4,4,4,1,NA,NA,2,NA,3
"22",2020,1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,4,2,3
"23",2020,2,4,1,2,0,NA,NA,NA,2,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA
"24",2020,2,4,2,NA,NA,NA,NA,4,2,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA
"25",2020,2,4,2,NA,NA,2,3,3,2,NA,NA,3,3,3,1,NA,NA,2,NA,NA
