"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"1",2020,"M","9th","Yes","3","1",NA,NA,NA,"No",NA,NA,"No","No","No",NA,"No","Yes",NA,NA,NA
"2",2020,"F","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"No","Never","Rarely"
"3",2020,"F","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Most of the time","Sometimes"
"4",2020,"F","9th","Yes","2","3",NA,NA,NA,"Yes","1",NA,NA,NA,NA,NA,"No","Yes",NA,NA,NA
"5",2020,"M","Unplaced","Yes","3","0",NA,NA,NA,"Yes","1","Last Month",NA,NA,NA,NA,"No",NA,NA,NA,NA
"6",2020,"M","9th","Yes","6","30",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes","Yes","Yes","No",NA,NA
"7",2020,"M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No",NA,"Yes",NA,NA,"Yes",NA,NA
"8",2020,"M","9th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"9",2020,"F","9th","Yes","5","1",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,NA,"Yes","Yes",NA,NA,NA
"10",2020,"F","10th","Yes","2","5",NA,NA,NA,"Yes","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020,"M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"12",2020,"M","9th","Yes","3","1",NA,NA,NA,"No",NA,NA,"No","No","No",NA,"No","Yes",NA,NA,NA
"13",2020,"F","9th","No",NA,NA,"No","No","No","Yes","2",NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA
"14",2020,"M","9th","Yes","1","0",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,NA,"Yes","Rarely","Rarely"
"15",2020,"M","9th","No",NA,NA,"No","No","No","No",NA,NA,"Yes",NA,"No","Yes",NA,NA,NA,NA,NA
"16",2020,"M","9th","Yes","5","7",NA,NA,NA,"Yes","3","Last Month",NA,NA,NA,NA,"No","Yes",NA,NA,NA
"17",2020,"F","9th","No",NA,NA,"No","No","No","Yes","0","Last 6 Months",NA,NA,NA,"No",NA,NA,"Yes","Sometimes","Sometimes"
"18",2020,"F","9th","No",NA,NA,"No","No","No","Yes","2","Last Month",NA,NA,NA,NA,"Yes","Yes",NA,NA,NA
"19",2020,"M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Most of the time"
"20",2020,"M","9th","Yes","6","15",NA,NA,NA,"No",NA,NA,"No","No","No",NA,"No","Yes",NA,NA,NA
"21",2020,"M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes",NA,"Rarely"
"22",2020,"M","8th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"No","Never","Rarely"
"23",2020,"F","9th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA
"24",2020,"F","9th","No",NA,NA,NA,NA,"No","No",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA
"25",2020,"F","9th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes",NA,NA
"26",2020,"M","9th","Yes","4","3",NA,NA,NA,"No",NA,NA,"Yes","No","No",NA,"No","No",NA,NA,NA
"27",2020,"M","9th","Yes","2","1",NA,NA,NA,"Yes","1",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA
"28",2020,"F","9th","Yes","4","20",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,NA,"No","Yes",NA,NA,NA
"29",2020,"M","9th","Yes","4","24",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2020,"M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA
"31",2020,"F","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"32",2020,"M","9th","Yes","5","25",NA,NA,NA,"No",NA,NA,"No","No","No",NA,"No","Yes",NA,NA,NA
"33",2020,"M","9th","Yes","1","1",NA,NA,NA,"No",NA,NA,"Yes","Yes","No",NA,"No","No",NA,NA,NA
"34",2020,"M","9th","Yes","2","0",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,NA,"No","Yes",NA,NA,NA
"35",2020,"F","9th","Yes","1","4",NA,NA,NA,"Yes","4","Today",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2020,"F","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"37",2020,"M","9th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"No","Rarely","Sometimes"
"38",2020,"M","9th","Yes","1","1",NA,NA,NA,"Yes","4",NA,NA,NA,NA,"Yes","No","Yes",NA,NA,NA
"39",2020,"F","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Rarely"
"40",2020,"M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA
"41",2020,"F","9th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Always","Sometimes"
"42",2020,"M","9th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,NA,NA,NA
"43",2020,"F","9th","No",NA,NA,"Yes","No","No","Yes","0","5 Years Ago",NA,NA,NA,"No",NA,NA,"Yes","Sometimes","Most of the time"
"44",2020,"M","9th","No",NA,NA,"No","No","No","Yes","0","1-4 Years Ago",NA,NA,NA,"Yes",NA,NA,"Yes",NA,NA
"45",2020,"M","9th","Yes","1","12",NA,NA,NA,"No",NA,NA,"Yes","No","Yes",NA,"No",NA,NA,NA,NA
"46",2020,"M","9th","No",NA,NA,"No","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes",NA,NA
"47",2020,"M","10th","Yes","5","20",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"No","No","Yes","Yes","Rarely","Sometimes"
"48",2020,"M","10th","No",NA,NA,"No","Yes","Yes","No",NA,NA,"No","Yes","No","Yes",NA,NA,"Yes","Sometimes","I do not use the internet"
"49",2020,"M","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","I do not use the internet","I do not use the internet"
"50",2020,"F","10th","Yes","5","30",NA,NA,NA,"Yes","16","Last 7 Days",NA,NA,NA,"Yes","Yes","No","No","Sometimes","Most of the time"
"51",2020,"F","10th","Yes","5","9",NA,NA,NA,"Yes","3","Today",NA,NA,NA,"Yes","No","No",NA,"Always","Rarely"
"52",2020,"F","10th","No",NA,NA,"No","No","No","Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,NA,"Yes","Sometimes","Sometimes"
"53",2020,"M","10th","Yes","5","3",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","No","Yes","Yes","Most of the time","Rarely"
"54",2020,"F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"55",2020,"M","10th","No",NA,NA,"No","No","No","Yes","0",NA,NA,NA,NA,"Yes",NA,NA,"Yes","Rarely","Sometimes"
"56",2020,"M","10th","No",NA,NA,"Yes","Yes","Yes","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Always","Most of the time"
"57",2020,"F","10th","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Never","Never"
"58",2020,"F","10th","Yes","1",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Never","Never"
"59",2020,"F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"60",2020,"F","10th","No",NA,NA,"Yes","No","No","Yes","1",NA,NA,NA,NA,"Yes","No",NA,"Yes","Sometimes","Rarely"
"61",2020,"F","10th","Yes","3","4",NA,NA,NA,"Yes","0",NA,NA,NA,NA,"Yes","No","Yes","No","Rarely","Rarely"
"62",2020,"M","10th","Yes","2","0",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes",NA,NA,"Yes","Sometimes","Most of the time"
"63",2020,"M","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"No","Never","Never"
"64",2020,"M","10th","Yes","1","0",NA,NA,NA,"No",NA,NA,"Yes","Yes","Yes","No",NA,NA,"Yes","Rarely","Rarely"
"65",2020,"F","10th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Rarely","Rarely"
"66",2020,"F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","I do not use the internet","I do not use the internet"
"67",2020,"F","10th","No",NA,NA,"No","No","No","Yes","0","Last 6 Months",NA,NA,NA,"Yes","No",NA,"Yes","Rarely","Sometimes"
"68",2020,"M","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Most of the time","Most of the time"
"69",2020,"M","10th","Yes","2","5",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","Yes","No","No","Sometimes","Most of the time"
"70",2020,"M","10th","Yes","6","10",NA,NA,NA,"No",NA,NA,"Yes",NA,"No","Yes","No","Yes","No","Rarely","Rarely"
"71",2020,"F","10th","No",NA,NA,"No","No","No","Yes","0",NA,NA,NA,NA,"Yes",NA,NA,"Yes","Rarely","Rarely"
"72",2020,"M","10th","Yes","6","30",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes","Yes","Yes","Yes","Sometimes","Always"
"73",2020,"F","10th","Yes","5","30",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","No",NA,"Yes","Never","Rarely"
"74",2020,"F","10th","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","Yes","Yes","Yes",NA,NA,"Yes","Most of the time","Rarely"
"75",2020,"F","10th","Yes","6","30",NA,NA,NA,"Yes","10","Last 7 Days",NA,NA,NA,"Yes","Yes","Yes","No","Rarely","Rarely"
"76",2020,"M","10th","No",NA,NA,"No","Yes","Yes","No",NA,NA,"No",NA,"No","Yes",NA,NA,"Yes","Never","Never"
"77",2020,"F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"78",2020,"M","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Never","Never"
"79",2020,"M","10th","Yes","3","0",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes",NA,NA,"Yes","Rarely","Rarely"
"80",2020,"F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Never"
"81",2020,"M","10th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"82",2020,"F","10th","Yes","6","30",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","Yes","No","Yes","Always","Most of the time"
"83",2020,"M","10th",NA,NA,NA,NA,NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,NA,"Most of the time","Rarely"
"84",2020,"F","10th","Yes","6","25",NA,NA,NA,"Yes","6","Last Month",NA,NA,NA,"Yes","Yes","No","Yes","Most of the time","Sometimes"
"85",2020,"M","10th","Yes","6","30",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","Yes","No","No","Never","Never"
"86",2020,"M","10th","Yes","4","0",NA,NA,NA,"Yes","1",NA,NA,NA,NA,"No","Yes","Yes","Yes","Rarely","Always"
"87",2020,"F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA
"88",2020,"M","10th","Yes","1","0",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes","No",NA,"Yes","Always","Always"
"89",2020,"F","10th","Yes","2","6",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes","No","Yes","Yes","Never","Never"
"90",2020,"M","10th","Yes","2","0",NA,NA,NA,"No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"91",2020,"F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"92",2020,"M","10th","Yes","2","0",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","Yes","Yes","Yes","Sometimes","Sometimes"
"93",2020,"M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Always"
"94",2020,"M","11th","Yes","6","18",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","No","No","No","Rarely","Rarely"
"95",2020,"F","11th","Yes","5","1",NA,NA,NA,"No",NA,NA,"Yes","Yes","No","Yes","No",NA,"No","Sometimes","Never"
"96",2020,"F","11th","Yes","6","20",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","No",NA,"Yes","Never","Rarely"
"97",2020,"M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Most of the time"
"98",2020,"M","11th","Yes","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Sometimes","Sometimes"
"99",2020,"M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Never"
"100",2020,"F","11th","No",NA,NA,"No","No","Yes","Yes","0","Last 6 Months",NA,NA,NA,"Yes",NA,NA,"Yes","Rarely","Rarely"
"101",2020,"F","11th","Yes","6","8",NA,NA,NA,"Yes","2","Last 7 Days",NA,NA,NA,"Yes","Yes","No","Yes","Sometimes","Rarely"
"102",2020,"M","11th","Yes","1","30",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","Yes","Yes","Yes","Never","Never"
"103",2020,"F","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes","No","Yes","Yes","Sometimes","Sometimes"
"104",2020,"M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","Yes","No","No",NA,NA,"No","Never","Never"
"105",2020,"M","11th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Not sure","Yes","No","Yes","Always","Rarely"
"106",2020,"M","11th","Yes","6","25",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","Yes","Yes","Yes","Rarely","Rarely"
"107",2020,"F","11th","Yes","6","30",NA,NA,NA,"Yes","4","Last Month",NA,NA,NA,"Yes","Yes","No","No","Sometimes","Rarely"
"108",2020,"F","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Always"
"109",2020,"M","11th","Yes","2","4",NA,NA,NA,"Yes","1","Last Month",NA,NA,NA,"Yes","No","No","No","Never","Rarely"
"110",2020,"M","11th","Yes","6","25",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","Yes","Yes","Yes","Rarely","Never"
"111",2020,"F","11th","Yes","1","2",NA,NA,NA,"No",NA,NA,"Yes","No","No","Not sure","No","No","Yes","Sometimes","Always"
"112",2020,"M","11th","Yes","4","15",NA,NA,NA,"Yes","1","Last Month",NA,NA,NA,"Yes","No","Yes","No","Rarely","Rarely"
"113",2020,"F","11th","Yes","4","0",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","Yes","Yes","No","Sometimes","Sometimes"
"114",2020,"F","11th","Yes","6","30",NA,NA,NA,"Yes","30","Last 7 Days",NA,NA,NA,"Yes","Yes","No","Yes","Always","Always"
"115",2020,"F","11th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,"No","Rarely","Sometimes"
"116",2020,"F","11th","Yes","1","2",NA,NA,NA,"No",NA,NA,"No","No","No","No","No",NA,"Yes","Rarely","Rarely"
"117",2020,"M","11th","Yes","3","7",NA,NA,NA,"Yes","0","5 Years Ago",NA,NA,NA,"Yes","No","No","Yes","Sometimes","Sometimes"
"118",2020,"F","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","I do not use the internet","Never"
