"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Any_Tobacco_Craving","E_Cig_Promotions_Internet"
"1",2016,"M","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"2",2016,"M","10th","Yes","100","Today","Yes","Yes","Yes","Yes","","Last 7 Days","Yes","Yes","No","Rarely"
"3",2016,"M","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"4",2016,"M","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"5",2016,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"6",2016,"F","10th","Yes","15","Today","Yes","No","Yes","Yes","5","Last 7 Days","Yes","No","Yes","Sometimes"
"7",2016,"F","10th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Sometimes"
"8",2016,"M","12th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"9",2016,"M","10th","No","7","5 Years Ago","Yes","Yes","Yes","No","8","5 Years Ago","No","No","",""
"10",2016,"F","10th","No","1","Today","No","No","No","Yes","5","Last 6 Months","Yes","Yes","No","Never"
"11",2016,"M","11th","Yes","7","Today","Yes","Yes","Yes","Yes","8","5 Years Ago","Yes","Yes","Yes","Rarely"
"12",2016,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"13",2016,"F","10th","Yes","75","Today","Yes","No","No","No","1","Today","No","No","No","Sometimes"
"14",2016,"F","10th","Yes","15","Last 7 Days","Yes","No","No","No","1","Today","No","No","No","Rarely"
"15",2016,"M","10th","Yes","1","Today","Yes","No","No","Yes","2","Today","Yes","No","Yes","Sometimes"
"16",2016,"M","10th","No","1","Today","No","No","No","Yes","1","Today","No","No","No","Rarely"
"17",2016,"M","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"18",2016,"M","10th","No","1","Today","Yes","Yes","Yes","No","1","Today","Yes","No","No","Always"
"19",2016,"M","10th","Yes","15","Last 7 Days","No","No","No","Yes","2","Today","No","No","Yes","I do not use the internet"
