"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"1",2018,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Never"
"2",2018,"F","7th","No","1","Today","Yes","Yes","No","No","1","Today","No","Yes","No","Yes","No","1","Yes","Most of the time","Sometimes"
"3",2018,"F","7th","No","1","Today","Yes","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Rarely","Rarely"
"4",2018,"F","7th","No","1","Today","Yes","Yes","No","No","1","Today","Yes","No","No","Yes","No","1","Yes","Rarely","Sometimes"
"5",2018,"M","7th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Yes","No","1","Yes","Rarely","Rarely"
"6",2018,"F","7th","Yes","","","Yes","Yes","Yes","Yes","1","5 Years Ago","No","No","No","Yes","No","1","Yes","Rarely","Most of the time"
"7",2018,"M","7th","Yes","75","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Rarely"
"8",2018,"M","7th","No","1","Today","No","No","No","Yes","1","8","No","No","No","No","No","1","Yes","Rarely","Never"
"9",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Always","Always"
"10",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","1","Yes","Never","Sometimes"
"11",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Never","Never"
"12",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Rarely","Rarely"
"13",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","6","Yes","Always","Sometimes"
"14",2018,"M","7th","Yes","75","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Rarely","Rarely"
"15",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Never","Never"
