"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"1",2019,"2","4","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","1","3","3"
"2",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","4","3"
"3",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","4","5"
"4",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","2","3"
"5",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","1","6","S","1","6","6"
"6",2019,"2","4","2","S","S","4","4","4","2","S","S","4","4","4","3","3","S","1","2","2"
"7",2019,"2","4","2","S","S","2","3","3","2","S","S","3","4","4","1","3","S","1","3","5"
"8",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","2","3","3"
"9",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","1","4","3"
"10",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","2","3"
"11",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","3","3"
"12",2019,"2","4","1","1","0","S","S","S","2","S","S","2","3","4","1","4","S","2","3","3"
"13",2019,"1","4","2","S","S","3","3","4","2","S","S","4","3","3","2","1","S","1","3","3"
"14",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","2","1","S","1","2","3"
"15",2019,"2","4","1","1","0","S","S","S","1","0","6","S","S","S","1","1","S","2","2","2"
"16",2019,"2","4","2","S","S","4","4","4","2","S","S","4","4","4","3","2","S","2","2","3"
"17",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","N","5"
"18",2019,"2","4","2","S","S","4","4","3","2","S","S","3","4","4","1","2","S","1","4","4"
"19",2019,"1","4","2","S","S","3","4","4","2","S","S","2","4","4","1","3","S","2","4","4"
"20",2019,"2","4","2","S","S","4","4","4","2","S","S","4","4","4","1","2","S","1","3","2"
"21",2019,"2","4","2","S","S","4","4","4","2","S","S","4","4","4","2","1","S","1","2","2"
"22",2019,"1","4","1","2","0","S","S","S","1","0","6","S","S","S","1","1","S","1","4","5"
"23",2019,"1","4","2","S","S","3","3","3","2","S","S","3","3","3","1","3","S","1","4","3"
"24",2019,"2","4","1","2","1","S","S","S","1","0","6","S","S","S","1","1","1","1","4","3"
"25",2019,"2","4","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","1","4","3"
"26",2019,"1","7","1","2","3","S","S","S","1","3","E","S","S","S","2","2","N","2","2","2"
"27",2019,"1","7","2","S","S","1","2","2","1","1","2","S","S","S","1","3","1","2","2","3"
"28",2019,"2","5","1","1","1","S","S","S","1","1","E","S","S","S","2","1","N","4","2","2"
"29",2019,"1","7","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","4","4"
"30",2019,"2","5","2","S","S","2","3","3","2","S","S","2","3","4","1","3","S","1","4","4"
"31",2019,"1","7","2","S","S","4","4","3","2","S","S","4","3","4","1","4","S","1","3","3"
"32",2019,"1","5","2","S","S","4","4","4","2","S","S","4","3","3","2","2","S","2","2","2"
"33",2019,"1","7","1","4","15","S","S","S","1","1","2","S","S","S","1","4","5","2","4","4"
"34",2019,"1","5","2","S","S","2","4","4","2","S","S","4","4","4","1","5","S","1","4","3"
"35",2019,"2","7","2","S","S","1","2","2","2","S","S","4","3","3","1","3","S","2","3","4"
"36",2019,"1","6","1","4","0","S","S","S","1","0","7","S","S","S","1","3","S","3","4","4"
"37",2019,"1","7","2","S","S","4","4","4","2","S","S","4","4","4","3","1","S","2","2","3"
"38",2019,"1","6","1","1","0","S","S","S","1","0","5","S","S","S","2","3","1","2","3","3"
"39",2019,"1","6","2","S","S","3","4","4","2","S","S","4","4","4","3","1","S","1","2","2"
"40",2019,"1","7","2","S","S","4","4","4","2","S","S","4","4","4","2","2","S","4","3","2"
"41",2019,"1","6","1","4","0","S","S","S","1","0","6","S","S","S","2","2","S","1","2","3"
"42",2019,"2","6","2","S","S","4","4","4","2","S","S","4","4","4","1","5","S","2","4","3"
"43",2019,"1","6","2","S","S","4","4","4","2","S","S","4","4","4","1","4","S","1","2","3"
"44",2019,"2","6","1","2","0","S","S","S","2","S","S","2","3","3","2","3","S","2","3","3"
"45",2019,"1","6","2","S","S","4","4","4","2","S","S","3","4","4","3","3","S","1","5","3"
"46",2019,"1","6","2","S","S","2","3","4","2","S","S","2","4","3","3","1","S","2","2","2"
"47",2019,"2","6","1","2","0","S","S","S","1","0","5","S","S","S","2","5","3","2","4","2"
"48",2019,"1","6","2","S","S","4","4","4","1","3","E","S","S","S","N","N","3","N","N","N"
"49",2019,"2","6","2","S","S","4","4","4","2","S","S","4","4","4","1","6","S","1","6","6"
"50",2019,"2","6","1","2","1","S","S","S","1","1","2","S","S","S","2","4","1","2","2","4"
"51",2019,"2","6","2","S","S","3","4","3","2","S","S","3","3","3","1","4","S","1","4","5"
"52",2019,"1","6","2","S","S","3","4","4","2","S","S","2","4","4","1","1","S","2","3","2"
"53",2019,"1","7","2","S","S","2","3","2","2","S","S","4","4","4","3","3","S","2","3","3"
"54",2019,"2","7","1","1","1","S","S","S","2","S","S","2","3","3","2","3","5","3","4","5"
"55",2019,"2","7","1","4","10","S","S","S","1","0","6","S","S","S","2","3","5","2","2","2"
"56",2019,"2","7","1","2","0","S","S","S","1","0","5","S","S","S","2","2","S","3","3","2"
"57",2019,"1","7","1","1","0","S","S","S","2","S","S","3","3","3","2","2","S","2","3","4"
"58",2019,"1","7","2","S","S","3","3","3","2","S","S","3","3","3","1","4","S","2","4","4"
"59",2019,"1","7","1","2","0","S","S","S","1","0","4","S","S","S","2","2","S","2","2","1"
"60",2019,"2","7","1","2","0","S","S","S","2","S","S","3","3","3","2","3","S","1","3","3"
"61",2019,"2","6","1","1","0","S","S","S","2","S","S","3","3","3","3","N","S","2","4","4"
"62",2019,"2","7","1","6","0","S","S","S","2","S","S","4","4","1","3","6","5","2","1","3"
"63",2019,"1","7","2","S","S","4","4","4","2","S","S","4","4","4","3","3","S","1","2","2"
"64",2019,"2","7","2","S","S","2","2","3","2","S","S","2","3","3","1","3","S","2","4","4"
"65",2019,"1","7","2","S","S","4","4","4","2","S","S","4","4","4","2","2","S","1","4","2"
"66",2019,"1","7","1","1","0","S","S","S","1","0","5","S","S","S","3","4","S","1","1","2"
