"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet","Cigarette_Last_Usedd"
"1","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"2","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"3","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Most of the time",NA
"4","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"5","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","6","S","Yes","Always","Always",NA
"6","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Never","Never",NA
"7","F","9th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Most of the time",NA
"8","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"9","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"10","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"11","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"12","F","9th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","Yes","4","S","Yes","Rarely","Rarely",NA
"13","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Rarely","Rarely",NA
"14","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Rarely",NA
"15","F","9th","Yes","1","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","S","Yes","Never","Never",NA
"16","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","No","S","Yes","Never","Rarely",NA
"17","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","N","Most of the time",NA
"18","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Sometimes","Sometimes",NA
"19","M","9th","No","S","S","No","No","No","No","S","S","Yes","No","No","Yes","3","S","Yes","Sometimes","Sometimes",NA
"20","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Rarely","Never",NA
"21","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Never",NA
"22","M","9th","Yes","75","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","S","Yes","Sometimes","Most of the time",NA
"23","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"24","F","9th","Yes","75","Today","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","Yes","Yes","Sometimes","Rarely",NA
"25","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"26","M","12th","Yes","75","Last Month","S","S","S","Yes","3","E","S","S","S","No","No","N","Yes","Never","Never",NA
"27","M","12th","No","S","S","Yes","Yes","Yes","Yes","1","Last 7 Days","S","S","S","Yes","3","Yes","Yes","Never","Rarely",NA
"28","F","10th","Yes","1","Today","S","S","S","Yes","1","E","S","S","S","No","Yes","N","No","Never","Never",NA
"29","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
