"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"1",2,1,2,NA,NA,2,3,4,2,NA,2,3,4,3,NA,NA,1,3,2
"2",1,1,2,NA,NA,4,3,4,2,NA,4,4,4,1,NA,NA,2,3,4
"3",2,1,2,NA,NA,3,4,4,2,NA,4,4,4,2,NA,NA,1,1,1
"4",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,3,3
"5",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,3
"7",2,1,2,NA,NA,3,3,4,2,NA,3,3,4,NA,NA,NA,1,4,3
"8",2,1,2,NA,NA,3,4,4,2,NA,2,4,3,1,NA,NA,3,2,3
"9",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,3
"10",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,4,2
"11",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"12",2,1,2,NA,NA,4,4,3,2,NA,4,3,4,1,NA,NA,2,3,3
"13",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"14",2,1,2,NA,NA,4,3,4,2,NA,4,4,4,3,NA,NA,1,4,3
"15",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,3,4
"16",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,2,2
"17",2,1,2,NA,NA,3,3,3,2,NA,2,3,3,1,NA,NA,1,3,3
"18",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"19",2,2,2,NA,NA,2,3,4,2,NA,4,2,4,1,NA,NA,2,5,4
"20",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,4,3
"21",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"22",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"23",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"24",2,2,2,NA,NA,3,4,4,2,NA,4,4,4,2,NA,NA,1,3,2
"25",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,3
"26",2,2,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,2,3,3
"27",1,2,1,0,6,NA,NA,NA,2,NA,4,4,4,3,NA,NA,1,3,3
"28",2,2,2,NA,NA,3,4,4,2,NA,3,4,4,2,NA,NA,2,3,3
"29",2,2,2,NA,NA,1,3,3,1,0,NA,NA,NA,1,NA,NA,2,3,3
"30",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,3,2
"31",2,2,2,NA,NA,3,3,4,2,NA,4,3,4,1,NA,NA,2,2,3
"32",2,2,2,NA,NA,3,3,4,2,NA,3,4,4,1,NA,NA,1,2,2
"33",2,2,2,NA,NA,2,3,3,2,NA,2,3,3,1,NA,NA,2,3,2
"34",1,3,2,NA,NA,3,3,3,2,NA,3,3,3,1,NA,NA,2,4,3
"35",1,3,2,NA,NA,4,4,4,2,NA,3,3,3,2,NA,NA,3,1,1
"36",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,2
"37",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,2,3,2
"38",1,3,2,NA,NA,3,4,3,2,NA,4,3,3,1,NA,NA,2,4,4
"39",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,2
"40",2,3,2,NA,NA,3,3,3,2,NA,3,3,3,1,NA,NA,3,6,5
"41",2,3,2,NA,NA,2,4,4,2,NA,2,4,4,2,NA,NA,2,3,3
"42",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,2
"43",2,3,2,NA,NA,3,4,4,2,NA,4,4,4,2,NA,NA,2,4,2
"44",2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"45",2,3,2,NA,NA,3,3,4,2,NA,3,3,3,1,NA,NA,2,3,2
"46",2,3,2,NA,NA,3,3,3,2,NA,3,4,4,3,NA,NA,2,3,5
"47",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"48",1,3,2,NA,NA,4,4,4,2,NA,4,3,4,1,NA,NA,1,6,5
"49",2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,5,5
"50",1,1,2,NA,NA,3,3,4,2,NA,2,3,4,1,NA,NA,NA,3,3
"51",2,1,2,NA,NA,4,3,4,2,NA,3,3,4,2,NA,NA,NA,2,NA
"52",2,1,2,NA,NA,3,4,4,2,NA,4,4,4,3,NA,NA,NA,2,3
"53",NA,6,2,NA,NA,4,3,3,2,NA,4,3,3,2,NA,NA,2,2,3
"54",1,1,1,NA,NA,NA,NA,NA,2,NA,2,2,3,1,NA,NA,2,5,3
"55",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,3,3
"56",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,4,3,5
"57",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,3,5
"58",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,4,3
"59",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,4,NA
"60",2,1,2,NA,NA,4,3,4,2,NA,4,3,4,NA,NA,NA,NA,NA,NA
"61",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"62",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,3
"63",1,1,2,NA,NA,2,3,4,2,NA,4,4,4,1,NA,NA,1,3,2
"64",1,1,2,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,4,1,1
"66",2,1,2,NA,NA,1,2,3,2,NA,4,4,4,1,NA,NA,3,2,2
"67",1,1,2,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,NA,NA,NA
"69",1,1,2,NA,NA,3,4,4,2,NA,2,4,4,NA,NA,NA,NA,NA,NA
"70",1,1,2,NA,NA,2,3,NA,2,NA,4,4,NA,2,NA,NA,NA,NA,NA
"71",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,NA,NA,NA
"72",1,1,2,NA,NA,NA,NA,2,2,NA,4,3,4,2,NA,NA,NA,NA,2
"73",1,1,1,0,7,NA,NA,NA,2,NA,4,3,3,NA,NA,NA,NA,NA,NA
"74",2,1,2,NA,NA,3,4,3,2,NA,3,3,3,1,NA,NA,4,4,2
"75",1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,2,4
"78",1,2,2,NA,NA,3,3,3,2,NA,4,4,4,3,NA,NA,1,3,3
"79",2,2,2,NA,NA,2,3,4,2,NA,2,4,4,2,NA,NA,2,3,2
"80",1,2,1,0,5,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,2,3,3
"81",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"82",2,2,2,NA,NA,3,4,4,2,NA,4,4,4,3,NA,NA,1,4,4
"83",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,3
"84",2,2,2,NA,NA,3,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"85",2,NA,2,NA,NA,2,4,4,2,NA,2,4,4,1,NA,NA,2,4,4
"86",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,NA,NA,NA
"87",2,2,2,NA,NA,2,3,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"88",2,2,2,NA,NA,3,3,4,2,NA,4,4,4,2,NA,NA,3,NA,NA
"89",1,2,2,NA,NA,4,4,4,2,NA,4,4,NA,1,NA,NA,1,NA,NA
"90",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,4,3,4
"91",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,4,2,3
"92",1,2,2,NA,NA,3,4,4,2,NA,3,3,4,1,NA,NA,1,3,4
"93",2,2,2,NA,NA,2,1,2,2,NA,4,4,4,NA,2,5,NA,NA,NA
"94",1,2,2,NA,NA,4,3,4,2,NA,4,3,3,2,NA,NA,1,NA,NA
"95",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,NA,NA,NA
"96",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,NA,NA,NA
