"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"1",2022,2,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,3,3
"2",2022,2,2,2,NA,NA,3,2,3,2,NA,4,4,4,1,NA,NA,2,5,5
"3",2022,1,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,4,2,2
"4",2022,1,2,2,NA,NA,3,3,3,1,0,NA,NA,NA,2,NA,NA,2,3,3
"5",2022,1,2,1,30,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2022,1,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,3,2
"7",2022,2,4,1,0,6,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,4,2,4
"8",2022,1,5,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,4,6,6
"9",2022,2,7,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,4,4
"10",2022,1,2,1,1,2,NA,NA,NA,2,NA,3,3,3,1,2,1,2,2,2
"11",2022,2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,3,2
"12",2022,1,3,2,NA,NA,4,4,4,2,NA,4,NA,NA,2,NA,NA,1,2,NA
"13",2022,2,4,2,NA,NA,4,3,3,2,NA,4,4,4,3,NA,NA,1,5,4
"14",2022,1,4,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,3,3
"15",2022,2,6,1,0,6,NA,NA,NA,2,NA,3,4,4,1,NA,NA,1,6,3
"16",2022,1,1,2,NA,NA,3,4,4,2,NA,3,4,4,1,NA,NA,1,3,2
"17",2022,2,1,1,20,3,NA,NA,NA,1,12,NA,NA,NA,1,1,NA,3,5,NA
"18",2022,1,1,2,NA,NA,3,4,4,2,NA,4,4,4,2,NA,NA,2,3,3
"19",2022,2,6,1,0,4,NA,NA,NA,2,NA,3,4,4,1,NA,NA,2,3,2
"20",2022,2,1,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"21",2022,2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,2
"22",2022,2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,3,4
"23",2022,2,7,1,20,1,NA,NA,NA,1,0,NA,NA,NA,1,1,4,1,3,NA
"24",2022,1,4,1,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2022,1,4,1,0,5,NA,NA,NA,2,NA,4,4,4,1,NA,NA,2,4,3
"26",2022,2,7,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,6,NA
"27",2022,1,5,2,NA,NA,4,3,4,2,NA,4,4,4,2,NA,NA,1,1,1
"28",2022,2,5,2,NA,NA,3,4,4,2,NA,3,4,4,3,NA,NA,2,3,3
"29",2022,1,5,2,NA,NA,4,4,4,2,NA,2,4,4,1,NA,NA,1,5,2
"30",2022,2,5,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,2,3,3
"31",2022,2,5,2,NA,NA,2,3,3,2,NA,4,4,4,1,NA,NA,2,3,3
"32",2022,2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"33",2022,1,1,2,NA,NA,4,4,4,2,NA,3,4,3,2,NA,NA,1,2,2
"34",2022,1,3,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,3,NA
"35",2022,1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,4,4
"36",2022,1,3,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"37",2022,2,3,2,NA,NA,3,4,4,2,NA,4,4,4,2,NA,NA,1,3,3
"38",2022,1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,3
"39",2022,1,4,2,NA,NA,4,4,4,2,NA,3,3,4,3,NA,NA,4,6,1
"40",2022,1,6,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,6,1
"41",2022,1,1,2,NA,NA,4,3,4,2,NA,4,4,4,3,NA,NA,1,2,2
"42",2022,1,5,1,0,6,NA,NA,NA,2,NA,3,4,3,2,NA,NA,2,4,2
"43",2022,2,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,2,2
"44",2022,1,4,1,30,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2022,1,4,1,30,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2022,2,1,2,NA,NA,2,4,3,2,NA,4,4,4,1,NA,NA,1,5,3
"47",2022,1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"48",2022,1,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"49",2022,1,4,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,4,NA
"50",2022,1,7,1,0,6,NA,NA,NA,2,NA,3,2,3,3,NA,NA,2,2,2
"51",2022,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2022,1,2,2,NA,NA,4,3,3,2,NA,4,3,4,3,NA,NA,1,2,NA
"53",2022,2,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,2,4
"54",2022,1,5,1,3,3,NA,NA,NA,1,0,NA,NA,NA,2,2,1,2,3,2
"55",2022,2,5,2,NA,NA,4,3,4,2,NA,3,3,4,2,NA,NA,1,3,3
"56",2022,2,3,2,NA,NA,3,4,4,1,0,NA,NA,NA,3,1,NA,2,4,3
"57",2022,2,4,2,NA,NA,4,4,3,2,NA,4,4,4,1,NA,NA,2,2,5
"58",2022,1,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,3,3
"59",2022,1,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,4,6,3
"60",2022,2,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"61",2022,2,2,1,NA,NA,NA,NA,NA,2,NA,4,4,4,1,NA,NA,1,3,NA
"62",2022,2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"63",2022,2,6,1,0,6,NA,NA,NA,2,NA,2,3,3,1,NA,NA,1,4,4
"64",2022,2,6,1,30,1,NA,NA,NA,1,0,NA,NA,NA,1,1,5,2,2,2
"65",2022,2,1,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,1,4,4
"66",2022,1,4,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
