Year,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,Response,DataValue,DataValueStdErr,LowConfidenceLimit,HighConfidenceLimit,SampleSize,Gender,Education,GeoLocation,DisplayOrder,DataValueAsNumericPercent
1999,NC,North Carolina,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,42.5,2.1,38.3,46.7,898,Male,High School,"(35.466220975, -79.159250463)",5,0.425
1999,TN,Tennessee,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,48.6,5,38.8,58.4,233,Female,High School,"(35.68094058, -85.774490914)",3,0.486
1999,OK,Oklahoma,Cigarette Use (Youth),Smoking Status,Current,34,2.3,29.4,38.6,908,Female,High School,"(35.472031356, -97.521070214)",7,0.34
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Frequent,7.7,1.1,5.5,9.9,742,Male,High School,"(35.68094058, -85.774490914)",12,0.077
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Ever,71.9,3,66,77.8,706,Female,High School,"(35.68094058, -85.774490914)",8,0.7190000000000001
1999,OK,Oklahoma,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,56.2,1.9,52.4,60,523,Overall,High School,"(35.472031356, -97.521070214)",1,0.562
1999,MS,Mississippi,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,59.1,3.2,52.9,65.3,233,Male,High School,"(32.745510099, -89.538030825)",5,0.591
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Current,1.8,0.3,1.3,2.3,3282,Female,High School,"(35.466220975, -79.159250463)",10,0.018000000000000002
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Current,1.7,0.9,0,3.4,832,Female,High School,"(32.745510099, -89.538030825)",10,0.017
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Ever,24.3,2.3,19.8,28.8,1469,Overall,High School,"(32.745510099, -89.538030825)",11,0.243
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Current,3.7,1,1.8,5.6,712,Female,High School,"(35.68094058, -85.774490914)",10,0.037000000000000005
1999,NJ,New Jersey,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,56.5,2.3,51.9,61.1,673,Male,High School,"(40.130570048, -74.273691288)",2,0.565
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Current,18.2,1.6,15.1,21.3,710,Male,High School,"(32.745510099, -89.538030825)",10,0.182
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Current,14.1,1.8,10.6,17.6,944,Overall,High School,"(34.748650124, -92.274490743)",10,0.141
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Frequent,0.3,0.2,0,0.7,832,Female,High School,"(32.745510099, -89.538030825)",12,0.003
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Current,9.6,0.9,7.9,11.3,1550,Overall,High School,"(32.745510099, -89.538030825)",10,0.096
1999,NJ,New Jersey,Cigarette Use (Youth),Smoking Status,Ever,63.2,1.9,59.5,66.9,3331,Male,High School,"(40.130570048, -74.273691288)",8,0.632
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Current,13,1,11.1,14.9,1908,Overall,High School,"(35.472031356, -97.521070214)",10,0.13
1999,MS,Mississippi,Cigarette Use (Youth),Smoking Status,Frequent,16.6,1.5,13.6,19.6,1536,Overall,High School,"(32.745510099, -89.538030825)",9,0.166
1999,NJ,New Jersey,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,46.9,2.7,41.7,52.1,777,Male,High School,"(40.130570048, -74.273691288)",5,0.469
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Current,14,1.3,11.4,16.6,3115,Male,High School,"(35.466220975, -79.159250463)",10,0.14
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Frequent,21.1,1.6,17.9,24.3,1407,Overall,High School,"(35.68094058, -85.774490914)",9,0.21100000000000002
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Ever,31.4,1.7,28.1,34.7,1885,Overall,High School,"(35.472031356, -97.521070214)",11,0.314
1999,OK,Oklahoma,Cigarette Use (Youth),Smoking Status,Frequent,16.1,1.8,12.6,19.6,916,Male,High School,"(35.472031356, -97.521070214)",9,0.161
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Ever,42.3,3,36.5,48.1,676,Male,High School,"(32.745510099, -89.538030825)",11,0.423
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Ever,21.5,1.1,19.4,23.6,6254,Overall,High School,"(35.466220975, -79.159250463)",11,0.215
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Frequent,4.2,0.7,2.8,5.6,1458,Overall,High School,"(35.68094058, -85.774490914)",12,0.042
1999,OK,Oklahoma,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,50.3,2.7,45,55.6,274,Male,High School,"(35.472031356, -97.521070214)",5,0.503
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Current,13.4,1.6,10.3,16.5,1458,Overall,High School,"(35.68094058, -85.774490914)",10,0.134
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Current,10.7,0.7,9.3,12.1,6598,Overall,High School,"(40.130570048, -74.273691288)",10,0.107
1999,TN,Tennessee,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,53.7,2.7,48.5,58.9,249,Male,High School,"(35.68094058, -85.774490914)",5,0.537
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Current,36.8,3.1,30.7,42.9,688,Female,High School,"(35.68094058, -85.774490914)",7,0.368
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Ever,73.8,2,69.8,77.8,729,Male,High School,"(35.68094058, -85.774490914)",8,0.738
1999,NJ,New Jersey,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,49.5,2.8,44.1,54.9,813,Female,High School,"(40.130570048, -74.273691288)",6,0.495
1999,OK,Oklahoma,Cigarette Use (Youth),Smoking Status,Ever,68.9,1.6,65.8,72,1882,Overall,High School,"(35.472031356, -97.521070214)",8,0.6890000000000001
1999,MS,Mississippi,Cigarette Use (Youth),Smoking Status,Ever,80.9,1.6,77.8,84,708,Male,High School,"(32.745510099, -89.538030825)",8,0.809
1999,OK,Oklahoma,Cigarette Use (Youth),Smoking Status,Ever,71,1.9,67.2,74.8,948,Male,High School,"(35.472031356, -97.521070214)",8,0.71
1999,NC,North Carolina,Cigarette Use (Youth),Smoking Status,Ever,70,1.1,67.8,72.2,3087,Male,High School,"(35.466220975, -79.159250463)",8,0.7
1999,NJ,New Jersey,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,56.4,2.5,51.5,61.3,1405,Overall,High School,"(40.130570048, -74.273691288)",1,0.564
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Ever,48.2,3.5,41.3,55.1,716,Male,High School,"(35.68094058, -85.774490914)",11,0.48200000000000004
1999,NC,North Carolina,Cigarette Use (Youth),Smoking Status,Current,29.7,1.3,27.1,32.3,3174,Female,High School,"(35.466220975, -79.159250463)",7,0.297
