Year,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,Response,DataValue,DataValueStdErr,LowConfidenceLimit,HighConfidenceLimit,SampleSize,Gender,Education,GeoLocation,DisplayOrder,DataValueAsNumericPercent
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Frequent,2.8,0.6,1.7,3.9,1029,Male,Middle School,"(35.472031356, -97.521070214)",12,0.027999999999999997
1999,NJ,New Jersey,Cigarette Use (Youth),Smoking Status,Frequent,2.2,0.4,1.5,2.9,8371,Overall,Middle School,"(40.130570048, -74.273691288)",9,0.022000000000000002
1999,GA,Georgia,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,47.3,7.3,33,61.6,79,Male,Middle School,"(32.839681093, -83.627580346)",5,0.473
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Frequent,1.8,0.8,0.3,3.3,573,Male,Middle School,"(38.3477403, -98.200781227)",12,0.018000000000000002
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Ever,14.7,2.7,9.4,20,212,Female,Middle School,"(34.748650124, -92.274490743)",11,0.147
1999,MO,Missouri,Cigarette Use (Youth),Smoking Status,Current,14.9,1.5,12,17.8,1489,Overall,Middle School,"(38.635790776, -92.566300053)",7,0.149
1999,NE,Nebraska,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,52.6,4.7,43.3,61.9,268,Overall,Middle School,"(41.641040988001, -99.365720623)",1,0.526
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Ever,47.3,3.2,41,53.6,622,Male,Middle School,"(35.68094058, -85.774490914)",8,0.473
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Ever,39.3,3.3,32.9,45.7,194,Male,Middle School,"(34.748650124, -92.274490743)",11,0.39299999999999996
1999,KS,Kansas,Cigarette Use (Youth),Smoking Status,Current,16.6,3.1,10.5,22.7,581,Male,Middle School,"(38.3477403, -98.200781227)",7,0.166
1999,NC,North Carolina,Cigarette Use (Youth),Smoking Status,Current,15,1.1,12.8,17.2,5657,Overall,Middle School,"(35.466220975, -79.159250463)",7,0.15
1999,TN,Tennessee,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,57,5.3,46.7,67.3,144,Overall,Middle School,"(35.68094058, -85.774490914)",1,0.57
1999,TN,Tennessee,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,53.6,5.7,42.5,64.7,75,Female,Middle School,"(35.68094058, -85.774490914)",6,0.536
1999,GA,Georgia,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,52.1,4.8,42.7,61.5,156,Overall,Middle School,"(32.839681093, -83.627580346)",1,0.521
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Current,3.9,0.5,3,4.8,5893,Overall,Middle School,"(35.466220975, -79.159250463)",10,0.039
1999,NJ,New Jersey,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,53,3.8,45.5,60.5,304,Male,Middle School,"(40.130570048, -74.273691288)",5,0.53
1999,AR,Arkansas,Cigarette Use (Youth),Smoking Status,Ever,61,5.5,50.2,71.8,192,Male,Middle School,"(34.748650124, -92.274490743)",8,0.61
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Current,1.5,0.3,0.9,2.1,1649,Female,Middle School,"(41.641040988001, -99.365720623)",10,0.015
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Ever,18.6,1.7,15.2,22,2088,Overall,Middle School,"(35.472031356, -97.521070214)",11,0.18600000000000003
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Frequent,0.5,0.2,0.2,0.8,4153,Female,Middle School,"(40.130570048, -74.273691288)",12,0.005
1999,TN,Tennessee,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,60.7,6.4,48.2,73.2,72,Female,Middle School,"(35.68094058, -85.774490914)",3,0.607
1999,NC,North Carolina,Cigarette Use (Youth),Smoking Status,Current,14,1.1,11.9,16.1,2935,Female,Middle School,"(35.466220975, -79.159250463)",7,0.14
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Ever,6.5,1,4.6,8.4,619,Female,Middle School,"(35.68094058, -85.774490914)",11,0.065
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Ever,27.6,2.2,23.3,31.9,897,Male,Middle School,"(32.745510099, -89.538030825)",11,0.276
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Current,13.9,1.9,10.1,17.7,586,Female,Middle School,"(35.68094058, -85.774490914)",7,0.139
1999,SD,South Dakota,Cigarette Use (Youth),Smoking Status,Frequent,3.4,0.8,1.9,4.9,962,Male,Middle School,"(44.353130053, -100.373530637)",9,0.034
1999,NC,North Carolina,Cigarette Use (Youth),Smoking Status,Current,16,1.4,13.2,18.8,2715,Male,Middle School,"(35.466220975, -79.159250463)",7,0.16
1999,KS,Kansas,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,43.3,5.6,32.3,54.3,63,Female,Middle School,"(38.3477403, -98.200781227)",3,0.433
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Ever,44.2,2.2,39.9,48.5,1236,Overall,Middle School,"(35.68094058, -85.774490914)",8,0.442
1999,MO,Missouri,Cigarette Use (Youth),Smoking Status,Ever,47.4,2.1,43.2,51.6,761,Male,Middle School,"(38.635790776, -92.566300053)",8,0.474
1999,MO,Missouri,Cigarette Use (Youth),Smoking Status,Frequent,4.1,1,2.2,6,718,Female,Middle School,"(38.635790776, -92.566300053)",9,0.040999999999999995
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Ever,10.3,0.7,9,11.6,4035,Male,Middle School,"(40.130570048, -74.273691288)",11,0.10300000000000001
1999,SD,South Dakota,Cigarette Use (Youth),Smoking Status,Ever,40.4,3.5,33.5,47.3,945,Male,Middle School,"(44.353130053, -100.373530637)",8,0.40399999999999997
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Frequent,0.2,0.2,0,0.6,632,Female,Middle School,"(35.68094058, -85.774490914)",12,0.002
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Frequent,1.2,0.4,0.5,1.9,1128,Overall,Middle School,"(38.3477403, -98.200781227)",12,0.012
1999,TN,Tennessee,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,52.3,7,38.5,66.1,71,Male,Middle School,"(35.68094058, -85.774490914)",2,0.523
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Current,8.4,1.5,5.4,11.4,988,Male,Middle School,"(44.353130053, -100.373530637)",10,0.084
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Frequent,1.9,0.5,0.9,2.9,663,Male,Middle School,"(35.68094058, -85.774490914)",12,0.019
1999,NE,Nebraska,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,48.5,5.5,37.8,59.2,136,Male,Middle School,"(41.641040988001, -99.365720623)",2,0.485
1999,SD,South Dakota,Cigarette Use (Youth),Smoking Status,Current,10,1.7,6.6,13.4,941,Female,Middle School,"(44.353130053, -100.373530637)",7,0.1
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Current,2.8,0.9,1.1,4.5,963,Female,Middle School,"(44.353130053, -100.373530637)",10,0.027999999999999997
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Current,6.3,1.2,4,8.6,1128,Overall,Middle School,"(38.3477403, -98.200781227)",10,0.063
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Ever,17.3,2.4,12.6,22,1108,Overall,Middle School,"(38.3477403, -98.200781227)",11,0.17300000000000001
1999,OK,Oklahoma,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,54.9,5.5,44.1,65.7,147,Male,Middle School,"(35.472031356, -97.521070214)",2,0.5489999999999999
1999,NE,Nebraska,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,57.3,6.2,45.1,69.5,131,Female,Middle School,"(41.641040988001, -99.365720623)",3,0.573
1999,NE,Nebraska,Cigarette Use (Youth),Smoking Status,Frequent,2.1,0.3,1.5,2.7,1602,Female,Middle School,"(41.641040988001, -99.365720623)",9,0.021
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Ever,16.1,1,14.2,18,1710,Male,Middle School,"(41.641040988001, -99.365720623)",11,0.161
