Year ,LocationAbbr ,LocationDesc             ,TopicDesc         ,MeasureDesc                                               ,Response ,DataValue ,DataValueStdErr ,LowConfidenceLimit ,HighConfidenceLimit ,SampleSize ,Gender  ,Education     ,GeoLocation                        ,DisplayOrder ,DataValueAsNumericPercent
1999 ,GA           ,Georgia                  ,Cessation (Youth) ,Quit Attempt in Past Year Among Current Cigarette Smokers ,         ,47.3      ,7.3             ,33                 ,61.6                ,79         ,Male    ,Middle School ,"(32.839681093, -83.627580346)"    ,           5 ,0.473
1999 ,NC           ,North Carolina           ,Cessation (Youth) ,Quit Attempt in Past Year Among Current Cigarette Smokers ,         ,42.5      ,2.1             ,38.3               ,46.7                ,898        ,Male    ,High School   ,"(35.466220975, -79.159250463)"    ,           5 ,0.425
1999 ,TN           ,Tennessee                ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,48.6      ,5               ,38.8               ,58.4                ,233        ,Female  ,High School   ,"(35.68094058, -85.774490914)"     ,           3 ,0.486
1999 ,NE           ,Nebraska                 ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,52.6      ,4.7             ,43.3               ,61.9                ,268        ,Overall ,Middle School ,"(41.641040988001, -99.365720623)" ,           1 ,0.526
1999 ,OK           ,Oklahoma                 ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,56.2      ,1.9             ,52.4               ,60                  ,523        ,Overall ,High School   ,"(35.472031356, -97.521070214)"    ,           1 ,0.562
1999 ,MS           ,Mississippi              ,Cessation (Youth) ,Quit Attempt in Past Year Among Current Cigarette Smokers ,         ,59.1      ,3.2             ,52.9               ,65.3                ,233        ,Male    ,High School   ,"(32.745510099, -89.538030825)"    ,           5 ,0.591
1999 ,TN           ,Tennessee                ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,57        ,5.3             ,46.7               ,67.3                ,144        ,Overall ,Middle School ,"(35.68094058, -85.774490914)"     ,           1 ,0.57
1999 ,TN           ,Tennessee                ,Cessation (Youth) ,Quit Attempt in Past Year Among Current Cigarette Smokers ,         ,53.6      ,5.7             ,42.5               ,64.7                ,75         ,Female  ,Middle School ,"(35.68094058, -85.774490914)"     ,           6 ,0.536
1999 ,GA           ,Georgia                  ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,52.1      ,4.8             ,42.7               ,61.5                ,156        ,Overall ,Middle School ,"(32.839681093, -83.627580346)"    ,           1 ,0.521
1999 ,NJ           ,New Jersey               ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,56.5      ,2.3             ,51.9               ,61.1                ,673        ,Male    ,High School   ,"(40.130570048, -74.273691288)"    ,           2 ,0.565
1999 ,NJ           ,New Jersey               ,Cessation (Youth) ,Quit Attempt in Past Year Among Current Cigarette Smokers ,         ,53        ,3.8             ,45.5               ,60.5                ,304        ,Male    ,Middle School ,"(40.130570048, -74.273691288)"    ,           5 ,0.53
1999 ,TN           ,Tennessee                ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,60.7      ,6.4             ,48.2               ,73.2                ,72         ,Female  ,Middle School ,"(35.68094058, -85.774490914)"     ,           3 ,0.607
1999 ,KS           ,Kansas                   ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,43.3      ,5.6             ,32.3               ,54.3                ,63         ,Female  ,Middle School ,"(38.3477403, -98.200781227)"      ,           3 ,0.433
1999 ,NJ           ,New Jersey               ,Cessation (Youth) ,Quit Attempt in Past Year Among Current Cigarette Smokers ,         ,46.9      ,2.7             ,41.7               ,52.1                ,777        ,Male    ,High School   ,"(40.130570048, -74.273691288)"    ,           5 ,0.469
1999 ,TN           ,Tennessee                ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,52.3      ,7               ,38.5               ,66.1                ,71         ,Male    ,Middle School ,"(35.68094058, -85.774490914)"     ,           2 ,0.523
1999 ,NE           ,Nebraska                 ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,48.5      ,5.5             ,37.8               ,59.2                ,136        ,Male    ,Middle School ,"(41.641040988001, -99.365720623)" ,           2 ,0.485
1999 ,OK           ,Oklahoma                 ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,54.9      ,5.5             ,44.1               ,65.7                ,147        ,Male    ,Middle School ,"(35.472031356, -97.521070214)"    ,           2 ,0.5489999999999999
1999 ,NE           ,Nebraska                 ,Cessation (Youth) ,Percent of Current Smokers Who Want to Quit               ,         ,57.3      ,6.2             ,45.1               ,69.5                ,131        ,Female  ,Middle School ,"(41.641040988001, -99.365720623)" ,           3 ,0.573
