Year,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,Response,DataValue,DataValueStdErr,LowConfidenceLimit,HighConfidenceLimit,SampleSize,Gender,Education,GeoLocation,DisplayOrder,DataValueAsNumericPercent
1999,NJ,New Jersey,Cigarette Use (Youth),Smoking Status,Frequent,2.2,0.4,1.5,2.9,8371,Overall,Middle School,"(40.130570048, -74.273691288)",9,0.022000000000000002
1999,OK,Oklahoma,Cigarette Use (Youth),Smoking Status,Current,34,2.3,29.4,38.6,908,Female,High School,"(35.472031356, -97.521070214)",7,0.34
1999,MO,Missouri,Cigarette Use (Youth),Smoking Status,Current,14.9,1.5,12,17.8,1489,Overall,Middle School,"(38.635790776, -92.566300053)",7,0.149
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Ever,71.9,3,66,77.8,706,Female,High School,"(35.68094058, -85.774490914)",8,0.7190000000000001
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Ever,47.3,3.2,41,53.6,622,Male,Middle School,"(35.68094058, -85.774490914)",8,0.473
1999,KS,Kansas,Cigarette Use (Youth),Smoking Status,Current,16.6,3.1,10.5,22.7,581,Male,Middle School,"(38.3477403, -98.200781227)",7,0.166
1999,NC,North Carolina,Cigarette Use (Youth),Smoking Status,Current,15,1.1,12.8,17.2,5657,Overall,Middle School,"(35.466220975, -79.159250463)",7,0.15
1999,AR,Arkansas,Cigarette Use (Youth),Smoking Status,Ever,61,5.5,50.2,71.8,192,Male,Middle School,"(34.748650124, -92.274490743)",8,0.61
1999,NC,North Carolina,Cigarette Use (Youth),Smoking Status,Current,14,1.1,11.9,16.1,2935,Female,Middle School,"(35.466220975, -79.159250463)",7,0.14
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Current,13.9,1.9,10.1,17.7,586,Female,Middle School,"(35.68094058, -85.774490914)",7,0.139
1999,SD,South Dakota,Cigarette Use (Youth),Smoking Status,Frequent,3.4,0.8,1.9,4.9,962,Male,Middle School,"(44.353130053, -100.373530637)",9,0.034
1999,NC,North Carolina,Cigarette Use (Youth),Smoking Status,Current,16,1.4,13.2,18.8,2715,Male,Middle School,"(35.466220975, -79.159250463)",7,0.16
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Ever,44.2,2.2,39.9,48.5,1236,Overall,Middle School,"(35.68094058, -85.774490914)",8,0.442
1999,MO,Missouri,Cigarette Use (Youth),Smoking Status,Ever,47.4,2.1,43.2,51.6,761,Male,Middle School,"(38.635790776, -92.566300053)",8,0.474
1999,NJ,New Jersey,Cigarette Use (Youth),Smoking Status,Ever,63.2,1.9,59.5,66.9,3331,Male,High School,"(40.130570048, -74.273691288)",8,0.632
1999,MS,Mississippi,Cigarette Use (Youth),Smoking Status,Frequent,16.6,1.5,13.6,19.6,1536,Overall,High School,"(32.745510099, -89.538030825)",9,0.166
1999,MO,Missouri,Cigarette Use (Youth),Smoking Status,Frequent,4.1,1,2.2,6,718,Female,Middle School,"(38.635790776, -92.566300053)",9,0.040999999999999995
1999,SD,South Dakota,Cigarette Use (Youth),Smoking Status,Ever,40.4,3.5,33.5,47.3,945,Male,Middle School,"(44.353130053, -100.373530637)",8,0.40399999999999997
1999,TN,Tennessee,Cigarette Use (Youth),Smoking Status,Frequent,21.1,1.6,17.9,24.3,1407,Overall,High School,"(35.68094058, -85.774490914)",9,0.21100000000000002
1999,SD,South Dakota,Cigarette Use (Youth),Smoking Status,Current,10,1.7,6.6,13.4,941,Female,Middle School,"(44.353130053, -100.373530637)",7,0.1
1999,NE,Nebraska,Cigarette Use (Youth),Smoking Status,Frequent,2.1,0.3,1.5,2.7,1602,Female,Middle School,"(41.641040988001, -99.365720623)",9,0.021
1999,OK,Oklahoma,Cigarette Use (Youth),Smoking Status,Frequent,16.1,1.8,12.6,19.6,916,Male,High School,"(35.472031356, -97.521070214)",9,0.161
1999,MS,Mississippi,Cigarette Use (Youth),Smoking Status,Frequent,4.8,0.6,3.6,6,1883,Overall,Middle School,"(32.745510099, -89.538030825)",9,0.048
1999,GA,Georgia,Cigarette Use (Youth),Smoking Status,Frequent,3.5,0.8,2,5,641,Female,Middle School,"(32.839681093, -83.627580346)",9,0.035
1999,SD,South Dakota,Cigarette Use (Youth),Smoking Status,Ever,36.9,3.4,30.2,43.6,1872,Overall,Middle School,"(44.353130053, -100.373530637)",8,0.369
1999,MS,Mississippi,Cigarette Use (Youth),Smoking Status,Ever,60.3,2.5,55.4,65.2,900,Male,Middle School,"(32.745510099, -89.538030825)",8,0.603
1999,NC,North Carolina,Cigarette Use (Youth),Smoking Status,Ever,41.6,2,37.7,45.5,2729,Male,Middle School,"(35.466220975, -79.159250463)",8,0.41600000000000004
1999,MS,Mississippi,Cigarette Use (Youth),Smoking Status,Current,19.4,1.3,16.8,22,986,Female,Middle School,"(32.745510099, -89.538030825)",7,0.19399999999999998
1999,MS,Mississippi,Cigarette Use (Youth),Smoking Status,Ever,53.7,2.6,48.6,58.8,1001,Female,Middle School,"(32.745510099, -89.538030825)",8,0.537
1999,AR,Arkansas,Cigarette Use (Youth),Smoking Status,Ever,60.2,3.7,53,67.4,400,Overall,Middle School,"(34.748650124, -92.274490743)",8,0.602
1999,NJ,New Jersey,Cigarette Use (Youth),Smoking Status,Frequent,2.2,0.4,1.5,2.9,4199,Male,Middle School,"(40.130570048, -74.273691288)",9,0.022000000000000002
1999,MO,Missouri,Cigarette Use (Youth),Smoking Status,Ever,47.5,2.3,43,52,1492,Overall,Middle School,"(38.635790776, -92.566300053)",8,0.475
