Year,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,Response,DataValue,DataValueStdErr,LowConfidenceLimit,HighConfidenceLimit,SampleSize,Gender,Education,GeoLocation,DisplayOrder,DataValueAsNumericPercent
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Frequent,2.8,0.6,1.7,3.9,1029,Male,Middle School,"(35.472031356, -97.521070214)",12,0.027999999999999997
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Frequent,1.8,0.8,0.3,3.3,573,Male,Middle School,"(38.3477403, -98.200781227)",12,0.018000000000000002
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Ever,14.7,2.7,9.4,20,212,Female,Middle School,"(34.748650124, -92.274490743)",11,0.147
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Frequent,7.7,1.1,5.5,9.9,742,Male,High School,"(35.68094058, -85.774490914)",12,0.077
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Ever,39.3,3.3,32.9,45.7,194,Male,Middle School,"(34.748650124, -92.274490743)",11,0.39299999999999996
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Current,1.8,0.3,1.3,2.3,3282,Female,High School,"(35.466220975, -79.159250463)",10,0.018000000000000002
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Current,1.7,0.9,0,3.4,832,Female,High School,"(32.745510099, -89.538030825)",10,0.017
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Ever,24.3,2.3,19.8,28.8,1469,Overall,High School,"(32.745510099, -89.538030825)",11,0.243
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Current,3.7,1,1.8,5.6,712,Female,High School,"(35.68094058, -85.774490914)",10,0.037000000000000005
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Current,3.9,0.5,3,4.8,5893,Overall,Middle School,"(35.466220975, -79.159250463)",10,0.039
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Current,18.2,1.6,15.1,21.3,710,Male,High School,"(32.745510099, -89.538030825)",10,0.182
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Current,1.5,0.3,0.9,2.1,1649,Female,Middle School,"(41.641040988001, -99.365720623)",10,0.015
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Ever,18.6,1.7,15.2,22,2088,Overall,Middle School,"(35.472031356, -97.521070214)",11,0.18600000000000003
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Frequent,0.5,0.2,0.2,0.8,4153,Female,Middle School,"(40.130570048, -74.273691288)",12,0.005
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Ever,6.5,1,4.6,8.4,619,Female,Middle School,"(35.68094058, -85.774490914)",11,0.065
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Ever,27.6,2.2,23.3,31.9,897,Male,Middle School,"(32.745510099, -89.538030825)",11,0.276
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Current,14.1,1.8,10.6,17.6,944,Overall,High School,"(34.748650124, -92.274490743)",10,0.141
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Frequent,0.3,0.2,0,0.7,832,Female,High School,"(32.745510099, -89.538030825)",12,0.003
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Current,9.6,0.9,7.9,11.3,1550,Overall,High School,"(32.745510099, -89.538030825)",10,0.096
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Current,13,1,11.1,14.9,1908,Overall,High School,"(35.472031356, -97.521070214)",10,0.13
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Current,14,1.3,11.4,16.6,3115,Male,High School,"(35.466220975, -79.159250463)",10,0.14
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Ever,10.3,0.7,9,11.6,4035,Male,Middle School,"(40.130570048, -74.273691288)",11,0.10300000000000001
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Frequent,0.2,0.2,0,0.6,632,Female,Middle School,"(35.68094058, -85.774490914)",12,0.002
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Frequent,1.2,0.4,0.5,1.9,1128,Overall,Middle School,"(38.3477403, -98.200781227)",12,0.012
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Current,8.4,1.5,5.4,11.4,988,Male,Middle School,"(44.353130053, -100.373530637)",10,0.084
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Frequent,1.9,0.5,0.9,2.9,663,Male,Middle School,"(35.68094058, -85.774490914)",12,0.019
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Current,2.8,0.9,1.1,4.5,963,Female,Middle School,"(44.353130053, -100.373530637)",10,0.027999999999999997
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Ever,31.4,1.7,28.1,34.7,1885,Overall,High School,"(35.472031356, -97.521070214)",11,0.314
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Current,6.3,1.2,4,8.6,1128,Overall,Middle School,"(38.3477403, -98.200781227)",10,0.063
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Ever,17.3,2.4,12.6,22,1108,Overall,Middle School,"(38.3477403, -98.200781227)",11,0.17300000000000001
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Ever,16.1,1,14.2,18,1710,Male,Middle School,"(41.641040988001, -99.365720623)",11,0.161
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Ever,42.3,3,36.5,48.1,676,Male,High School,"(32.745510099, -89.538030825)",11,0.423
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Ever,21.5,1.1,19.4,23.6,6254,Overall,High School,"(35.466220975, -79.159250463)",11,0.215
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Frequent,4.2,0.7,2.8,5.6,1458,Overall,High School,"(35.68094058, -85.774490914)",12,0.042
1999,MO,Missouri,Smokeless Tobacco Use (Youth),User Status,Current,4.6,0.6,3.5,5.7,1507,Overall,Middle School,"(38.635790776, -92.566300053)",10,0.046
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Current,10.1,2,6.1,14.1,663,Male,Middle School,"(35.68094058, -85.774490914)",10,0.10099999999999999
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Frequent,2.5,0.5,1.5,3.5,914,Male,Middle School,"(32.745510099, -89.538030825)",12,0.025
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Ever,18.4,1.1,16.3,20.5,2780,Male,Middle School,"(35.466220975, -79.159250463)",11,0.184
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Ever,27.3,2.4,22.5,32.1,406,Overall,Middle School,"(34.748650124, -92.274490743)",11,0.273
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Current,1.8,0.6,0.6,3,632,Female,Middle School,"(35.68094058, -85.774490914)",10,0.018000000000000002
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Current,13.4,1.6,10.3,16.5,1458,Overall,High School,"(35.68094058, -85.774490914)",10,0.134
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Ever,13.2,0.6,12,14.4,5810,Overall,Middle School,"(35.466220975, -79.159250463)",11,0.132
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Frequent,1.4,0.3,0.9,1.9,2836,Male,Middle School,"(35.466220975, -79.159250463)",12,0.013999999999999999
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Frequent,1.6,0.3,1,2.2,2100,Overall,Middle School,"(35.472031356, -97.521070214)",12,0.016
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Current,2.9,0.5,2,3.8,4153,Female,Middle School,"(40.130570048, -74.273691288)",10,0.028999999999999998
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Current,9.1,0.9,7.4,10.8,1928,Overall,Middle School,"(32.745510099, -89.538030825)",10,0.091
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Current,10.7,0.7,9.3,12.1,6598,Overall,High School,"(40.130570048, -74.273691288)",10,0.107
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Ever,10.7,1.9,7,14.4,956,Female,Middle School,"(44.353130053, -100.373530637)",11,0.107
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Ever,8.1,1.2,5.7,10.5,543,Female,Middle School,"(38.3477403, -98.200781227)",11,0.081
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Frequent,0.9,0.3,0.4,1.4,1722,Male,Middle School,"(41.641040988001, -99.365720623)",12,0.009000000000000001
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Ever,8.3,0.6,7.1,9.5,1651,Female,Middle School,"(41.641040988001, -99.365720623)",11,0.083
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Ever,48.2,3.5,41.3,55.1,716,Male,High School,"(35.68094058, -85.774490914)",11,0.48200000000000004
1999,GA,Georgia,Smokeless Tobacco Use (Youth),User Status,Current,4.4,1,2.4,6.4,1295,Overall,Middle School,"(32.839681093, -83.627580346)",10,0.044000000000000004
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Frequent,0.5,0.5,0,1.4,963,Female,Middle School,"(44.353130053, -100.373530637)",12,0.005
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Ever,26,4,18.1,33.9,561,Male,Middle School,"(38.3477403, -98.200781227)",11,0.26
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Ever,8.2,0.5,7.3,9.1,8166,Overall,Middle School,"(40.130570048, -74.273691288)",11,0.08199999999999999
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Ever,6.2,0.6,5.1,7.3,4112,Female,Middle School,"(40.130570048, -74.273691288)",11,0.062
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Frequent,5.5,0.7,4.2,6.8,1908,Overall,High School,"(35.472031356, -97.521070214)",12,0.055
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Current,6.3,0.8,4.7,7.9,2836,Male,Middle School,"(35.466220975, -79.159250463)",10,0.063
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Ever,23.9,1.1,21.7,26.1,3092,Male,High School,"(40.130570048, -74.273691288)",11,0.239
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Frequent,3,1.4,0.3,5.7,202,Male,Middle School,"(34.748650124, -92.274490743)",12,0.03
1999,MO,Missouri,Smokeless Tobacco Use (Youth),User Status,Frequent,0.1,0.2,0,0.4,728,Female,Middle School,"(38.635790776, -92.566300053)",12,0.001
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Frequent,8.9,2,4.9,12.9,498,Male,High School,"(34.748650124, -92.274490743)",12,0.08900000000000001
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Current,3.6,1,1.6,5.6,444,Female,High School,"(34.748650124, -92.274490743)",10,0.036000000000000004
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Frequent,1.8,0.5,0.8,2.8,413,Overall,Middle School,"(34.748650124, -92.274490743)",12,0.018000000000000002
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Frequent,0.7,0.1,0.5,0.9,8277,Overall,Middle School,"(40.130570048, -74.273691288)",12,0.006999999999999999
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Ever,10.4,2.2,6.1,14.7,434,Female,High School,"(34.748650124, -92.274490743)",11,0.10400000000000001
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Current,4.7,0.5,3.8,5.6,1722,Male,Middle School,"(41.641040988001, -99.365720623)",10,0.047
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Ever,8.2,1.9,4.4,12,1065,Female,Middle School,"(35.472031356, -97.521070214)",11,0.08199999999999999
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Ever,8.6,0.8,7,10.2,3184,Female,High School,"(40.130570048, -74.273691288)",11,0.086
1999,GA,Georgia,Smokeless Tobacco Use (Youth),User Status,Ever,12.3,1.3,9.7,14.9,1282,Overall,Middle School,"(32.839681093, -83.627580346)",11,0.12300000000000001
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Ever,23.9,2.4,19.2,28.6,974,Male,Middle School,"(44.353130053, -100.373530637)",11,0.239
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Ever,27,2.6,21.9,32.1,917,Overall,High School,"(34.748650124, -92.274490743)",11,0.27
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Frequent,1.4,0.2,1,1.8,6598,Overall,High School,"(40.130570048, -74.273691288)",12,0.013999999999999999
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Current,22.6,2.4,17.8,27.4,742,Male,High School,"(35.68094058, -85.774490914)",10,0.226
1999,MO,Missouri,Smokeless Tobacco Use (Youth),User Status,Frequent,0.7,0.2,0.4,1,1507,Overall,Middle School,"(38.635790776, -92.566300053)",12,0.006999999999999999
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Ever,43.7,3.3,37.3,50.1,481,Male,High School,"(34.748650124, -92.274490743)",11,0.43700000000000006
1999,GA,Georgia,Smokeless Tobacco Use (Youth),User Status,Frequent,0.6,0.4,0,1.4,663,Female,Middle School,"(32.839681093, -83.627580346)",12,0.006
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Frequent,0,0,0,0,1004,Female,Middle School,"(32.745510099, -89.538030825)",12,0
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Frequent,0.6,0.3,0,1.2,3271,Female,High School,"(40.130570048, -74.273691288)",12,0.006
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Ever,10.4,0.8,8.8,12,3235,Female,High School,"(35.466220975, -79.159250463)",11,0.10400000000000001
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Ever,15.6,1.7,12.3,18.9,1254,Overall,Middle School,"(35.68094058, -85.774490914)",11,0.156
1999,GA,Georgia,Smokeless Tobacco Use (Youth),User Status,Ever,6.3,1.2,4,8.6,656,Female,Middle School,"(32.839681093, -83.627580346)",11,0.063
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Frequent,1.7,0.5,0.7,2.7,988,Male,Middle School,"(44.353130053, -100.373530637)",12,0.017
1999,GA,Georgia,Smokeless Tobacco Use (Youth),User Status,Current,6.7,1.6,3.6,9.8,629,Male,Middle School,"(32.839681093, -83.627580346)",10,0.067
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Current,14.5,1.5,11.5,17.5,914,Male,Middle School,"(32.745510099, -89.538030825)",10,0.145
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Current,23.2,1.7,19.9,26.5,967,Male,High School,"(35.472031356, -97.521070214)",10,0.23199999999999998
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Current,6,1.2,3.6,8.4,1298,Overall,Middle School,"(35.68094058, -85.774490914)",10,0.06
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Frequent,4.8,1.1,2.7,6.9,944,Overall,High School,"(34.748650124, -92.274490743)",12,0.048
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Frequent,0.9,0.2,0.6,1.2,4101,Male,Middle School,"(40.130570048, -74.273691288)",12,0.009000000000000001
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Frequent,3.2,0.5,2.2,4.2,1550,Overall,High School,"(32.745510099, -89.538030825)",12,0.032
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Ever,11.7,1.3,9.2,14.2,927,Female,High School,"(35.472031356, -97.521070214)",11,0.11699999999999999
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Frequent,0.7,0.2,0.4,1,5893,Overall,Middle School,"(35.466220975, -79.159250463)",12,0.006999999999999999
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Frequent,0.5,0.5,0,1.5,211,Female,Middle School,"(34.748650124, -92.274490743)",12,0.005
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Current,5.6,1.1,3.5,7.7,1958,Overall,Middle School,"(44.353130053, -100.373530637)",10,0.055999999999999994
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Current,2.4,0.6,1.2,3.6,937,Female,High School,"(35.472031356, -97.521070214)",10,0.024
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Current,5.4,0.6,4.2,6.6,3271,Female,High School,"(40.130570048, -74.273691288)",10,0.054000000000000006
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Current,5.7,0.5,4.8,6.6,4101,Male,Middle School,"(40.130570048, -74.273691288)",10,0.057
1999,MO,Missouri,Smokeless Tobacco Use (Youth),User Status,Current,0.8,0.4,0.1,1.5,728,Female,Middle School,"(38.635790776, -92.566300053)",10,0.008
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Ever,18.8,1.4,16.1,21.5,1910,Overall,Middle School,"(32.745510099, -89.538030825)",11,0.188
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Current,19.6,2.2,15.3,23.9,202,Male,Middle School,"(34.748650124, -92.274490743)",10,0.196
1999,GA,Georgia,Smokeless Tobacco Use (Youth),User Status,Current,1.6,0.7,0.3,2.9,663,Female,Middle School,"(32.839681093, -83.627580346)",10,0.016
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Ever,12.2,0.6,11,13.4,3365,Overall,Middle School,"(41.641040988001, -99.365720623)",11,0.122
1999,MO,Missouri,Smokeless Tobacco Use (Youth),User Status,Current,8.2,1,6.3,10.1,771,Male,Middle School,"(38.635790776, -92.566300053)",10,0.08199999999999999
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Frequent,0.6,0.4,0,1.3,712,Female,High School,"(35.68094058, -85.774490914)",12,0.006
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Frequent,6.4,0.9,4.6,8.2,710,Male,High School,"(32.745510099, -89.538030825)",12,0.064
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Frequent,3.8,0.5,2.8,4.8,3115,Male,High School,"(35.466220975, -79.159250463)",12,0.038
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Current,7.9,0.8,6.4,9.4,6423,Overall,High School,"(35.466220975, -79.159250463)",10,0.079
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Ever,16.1,0.8,14.5,17.7,6310,Overall,High School,"(40.130570048, -74.273691288)",11,0.161
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Ever,17.4,1.9,13.7,21.1,1935,Overall,Middle School,"(44.353130053, -100.373530637)",11,0.174
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Frequent,0.1,0.1,0,0.2,3048,Female,Middle School,"(35.466220975, -79.159250463)",12,0.001
1999,GA,Georgia,Smokeless Tobacco Use (Youth),User Status,Frequent,0.9,0.3,0.3,1.5,1295,Overall,Middle School,"(32.839681093, -83.627580346)",12,0.009000000000000001
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Current,3.8,1.9,0,7.6,211,Female,Middle School,"(34.748650124, -92.274490743)",10,0.038
1999,GA,Georgia,Smokeless Tobacco Use (Youth),User Status,Frequent,1.1,0.5,0.2,2,629,Male,Middle School,"(32.839681093, -83.627580346)",12,0.011000000000000001
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Frequent,0.6,0.2,0.3,0.9,3377,Overall,Middle School,"(41.641040988001, -99.365720623)",12,0.006
1999,MO,Missouri,Smokeless Tobacco Use (Youth),User Status,Ever,22.7,2.1,18.5,26.9,766,Male,Middle School,"(38.635790776, -92.566300053)",11,0.22699999999999998
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Current,15.6,1.1,13.4,17.8,3281,Male,High School,"(40.130570048, -74.273691288)",10,0.156
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Ever,33.3,2.4,28.6,38,1417,Overall,High School,"(35.68094058, -85.774490914)",11,0.33299999999999996
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Current,3.5,0.6,2.4,4.6,1004,Female,Middle School,"(32.745510099, -89.538030825)",10,0.035
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Current,6.7,0.8,5.1,8.3,2100,Overall,Middle School,"(35.472031356, -97.521070214)",10,0.067
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Frequent,1.1,0.3,0.5,1.7,1298,Overall,Middle School,"(35.68094058, -85.774490914)",12,0.011000000000000001
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Current,11.3,1.3,8.7,13.9,1029,Male,Middle School,"(35.472031356, -97.521070214)",10,0.113
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Ever,9.6,1.2,7.3,11.9,1004,Female,Middle School,"(32.745510099, -89.538030825)",11,0.096
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Current,1.5,0.4,0.7,2.3,551,Female,Middle School,"(38.3477403, -98.200781227)",10,0.015
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Frequent,10.3,1.2,7.9,12.7,967,Male,High School,"(35.472031356, -97.521070214)",12,0.10300000000000001
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Current,1.8,0.7,0.4,3.2,1067,Female,Middle School,"(35.472031356, -97.521070214)",10,0.018000000000000002
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Ever,32.9,1.8,29.4,36.4,2998,Male,High School,"(35.466220975, -79.159250463)",11,0.32899999999999996
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Current,12,1.7,8.7,15.3,413,Overall,Middle School,"(34.748650124, -92.274490743)",10,0.12
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Current,3.2,0.3,2.7,3.7,3377,Overall,Middle School,"(41.641040988001, -99.365720623)",10,0.032
1999,MO,Missouri,Smokeless Tobacco Use (Youth),User Status,Ever,14.7,1.2,12.3,17.1,1503,Overall,Middle School,"(38.635790776, -92.566300053)",11,0.147
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Ever,24.5,2.7,19.3,29.7,633,Male,Middle School,"(35.68094058, -85.774490914)",11,0.245
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Current,10.8,2.2,6.5,15.1,573,Male,Middle School,"(38.3477403, -98.200781227)",10,0.10800000000000001
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Current,24.4,3.2,18.2,30.6,498,Male,High School,"(34.748650124, -92.274490743)",10,0.244
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Frequent,1.3,0.3,0.8,1.8,1928,Overall,Middle School,"(32.745510099, -89.538030825)",12,0.013000000000000001
1999,MO,Missouri,Smokeless Tobacco Use (Youth),User Status,Frequent,1.1,0.4,0.4,1.8,771,Male,Middle School,"(38.635790776, -92.566300053)",12,0.011000000000000001
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Ever,50.2,2.3,45.6,54.8,954,Male,High School,"(35.472031356, -97.521070214)",11,0.502
1999,GA,Georgia,Smokeless Tobacco Use (Youth),User Status,Ever,17.6,2,13.6,21.6,624,Male,Middle School,"(32.839681093, -83.627580346)",11,0.17600000000000002
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Ever,7.9,0.5,6.9,8.9,3021,Female,Middle School,"(35.466220975, -79.159250463)",11,0.079
1999,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,Frequent,0.7,0.5,0,1.6,444,Female,High School,"(34.748650124, -92.274490743)",12,0.006999999999999999
1999,SD,South Dakota,Smokeless Tobacco Use (Youth),User Status,Frequent,1.1,0.3,0.5,1.7,1958,Overall,Middle School,"(44.353130053, -100.373530637)",12,0.011000000000000001
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Current,1.4,0.3,0.9,1.9,3048,Female,Middle School,"(35.466220975, -79.159250463)",10,0.013999999999999999
1999,KS,Kansas,Smokeless Tobacco Use (Youth),User Status,Frequent,0.4,0.3,0,0.9,551,Female,Middle School,"(38.3477403, -98.200781227)",12,0.004
1999,MO,Missouri,Smokeless Tobacco Use (Youth),User Status,Ever,6.4,1,4.5,8.3,729,Female,Middle School,"(38.635790776, -92.566300053)",11,0.064
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Ever,28.4,2.1,24.3,32.5,1019,Male,Middle School,"(35.472031356, -97.521070214)",11,0.284
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Frequent,0.4,0.3,0,0.9,937,Female,High School,"(35.472031356, -97.521070214)",12,0.004
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Current,4.3,0.4,3.5,5.1,8277,Overall,Middle School,"(40.130570048, -74.273691288)",10,0.043
1999,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Ever,18.2,3,12.4,24,698,Female,High School,"(35.68094058, -85.774490914)",11,0.182
1999,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,Frequent,2,0.3,1.5,2.5,3281,Male,High School,"(40.130570048, -74.273691288)",12,0.02
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,Frequent,0.4,0.2,0,0.8,1067,Female,Middle School,"(35.472031356, -97.521070214)",12,0.004
1999,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,Frequent,0.2,0.1,0,0.4,1649,Female,Middle School,"(41.641040988001, -99.365720623)",12,0.002
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Frequent,0.4,0.2,0.1,0.7,3282,Female,High School,"(35.466220975, -79.159250463)",12,0.004
1999,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,Frequent,2.1,0.3,1.6,2.6,6423,Overall,High School,"(35.466220975, -79.159250463)",12,0.021
1999,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,Ever,7.6,1.7,4.3,10.9,787,Female,High School,"(32.745510099, -89.538030825)",11,0.076
2000,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Ever,18.2,0.9,16.4,19.9,10548,Overall,Middle School,"(35.68094058, -85.774490914)",11,0.182
2000,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,Current,1.9,0.3,1.3,2.5,5309,Female,Middle School,"(35.68094058, -85.774490914)",10,0.019
2000,TX,Texas,Smokeless Tobacco Use (Youth),User Status,Frequent,2.8,0.9,1.2,4.5,2260,Overall,High School,"(31.827240407, -99.426770206)",12,0.027999999999999997
